hosts,refFamilyCount,company,country,parent_id
www.psvgamestudio.com,101,unknown,NA,NA
pspush.psvgamestudio.com,100,unknown,NA,NA
www.gstatic.com,99,Google,US,Alphabet
ws.tapjoyads.com,94,Tapjoy,US,
androidads20.adcolony.com,91,Adcolony,US,Opera
smaato-android-sdk.s3.amazonaws.com,90,Amazon Web Services,US,Amazon
soma.smaato.net,90,Smaato,US,Spearhead Integrated Marketing Communication 
upload.twitter.com,90,Twitter,US,NA
app-zh.babybus.org,89,unknown,NA,NA
appmange.babybus.org,88,unknown,NA,NA
jq.qq.com,88,Tencent,CN,NA
app.getsentry.com,87,unknown,NA,NA
dc.babybus.org,87,unknown,NA,NA
openbox.mobilem.360.cn,87,360,CN,NA
connect.tapjoy.com,86,unknown,NA,NA
e.admob.com,85,Admob,US,Google
soma-assets.smaato.net,85,Smaato,US,Spearhead Integrated Marketing Communication 
pic.babybus.org,84,unknown,NA,NA
beta.api.babybus.co,83,unknown,NA,NA
tech.tapjoy.com,80,unknown,NA,NA
box.babybus.co,79,unknown,NA,NA
console.firebase.google.com,79,Google,US,Alphabet
testdc.babybus.co,78,unknown,NA,NA
acs.amazonaws.com,76,Amazon Web Services,US,Amazon
cache-api-ks.babybus.org,76,unknown,NA,NA
tinyurl.com,76,unknown,NA,NA
www.babybus.com,76,unknown,NA,NA
ads.rubiconproject.com,75,Rubicon Project,US,NA
api.sdkbox.com,75,unknown,NA,NA
m.youtube,75,unknown,NA,NA
monetize-api.coronalabs.com,75,unknown,NA,NA
temp-api.babybus.co,75,unknown,NA,NA
www.youtube,75,unknown,NA,NA
localhost,74,unknown,NA,NA
www.ngs.ac.uk,73,unknown,NA,NA
www.libiitech.com,72,unknown,NA,NA
www.tumblr.com,72,Tumblr,US,Yahoo
center.babybus.org,71,unknown,NA,NA
pay.babybus.org,71,unknown,NA,NA
www.twitter.com,71,Twitter,US,NA
ads.mdotm.com,70,unknown,NA,NA
robocop.oneaudience.com,70,unknown,NA,NA
api.tumblr.com,69,Tumblr,US,Yahoo
google.com,69,Google,US,Alphabet
iframe.sponsorpay.com,69,Fyber,US,RNTS Media
xml.org,69,unknown,NA,NA
data.altbeacon.org,68,unknown,NA,NA
info.static.startappservice.com,68,unknown,NA,NA
ads.mp.mydas.mobi,67,Millennialmedia,,
androidsdk.ads.mp.mydas.mobi,67,Millennialmedia,,
millennialmedia.com,67,Millennialmedia,,
api.sponsorpay.com,66,Fyber,US,RNTS Media
beta.pay.babybus.co,66,unknown,NA,NA
engine.sponsorpay.com,66,Fyber,US,RNTS Media
service.sponsorpay.com,66,Fyber,US,RNTS Media
