hosts,refCount,company,type,jurisdiction
debugx5.qq.com,96,Tencent,advertising,china
jq.qq.com,93,Tencent,advertising,china
app.optimizely.com,88,Optimizely,analytics,us
events.mobile.optimizely.com,88,Optimizely,analytics,us
solutions.brightcove.com,88,Brightcove,analytics,us
v.t.qq.com,85,Tencent,advertising,china
admin.brightcove.com,83,Brightcove,analytics,us
"https://www.googletagmanager.com""",83,Google-Analytics,analytics,us
ad-stir.com,82,Adstir,advertising,jp
goku.brightcove.com,82,Brightcove,analytics,us
cdn-static.liverail.com,80,Liverail,advertising,us
log.liverail.com,80,Liverail,advertising,us
www.outbrain.com,79,Outbrain,advertising,us
eventlog.outbrain.com,78,Outbrain,advertising,us
notify.tapsense.com,78,Tapsense,advertising,us
errors.client.optimizely.com,77,Optimizely,analytics,us
apicdn.viglink.com,76,Viglink,advertising,us
"http://media.admob.com/mraid/v1/mraid_app_banner.js)""",76,Admob,advertising,us
"http://media.admob.com/mraid/v1/mraid_app_expanded_banner.js)""",76,Admob,advertising,us
"http://media.admob.com/mraid/v1/mraid_app_interstitial.js)""",76,Admob,advertising,us
log.outbrain.com,76,Outbrain,advertising,us
{0}.api.mailchimp.com,75,Mailchimp,advertising,us
"https://googleads.g.doubleclick.net/mads/static/mad/sdk/native/native_ads.html""",75,Doubleclick,advertising,us
b.sharethrough.com,74,Sharethrough,advertising,us
btlr.sharethrough.com,74,Sharethrough,advertising,us
platform-cdn.sharethrough.com,74,Sharethrough,advertising,us
ads.adfox.ru,72,Adfox,advertising,ru
"http://www.google-analytics.com/collect""",67,Google-Analytics,analytics,us
soft.tbs.imtt.qq.com,67,Tencent,advertising,china
wsback.staging.presage.io,67,Presage,advertising,us
diag.adfarm1.adition.com,66,Adition,advertising,de
"https://ssl.google-analytics.com/collect""",66,Google-Analytics,analytics,us
"ssl.google-analytics.com
https:",66,Google-Analytics,analytics,us
www.bluekai.com,66,Bluekai,advertising,us
%s.log.optimizely.com,65,Optimizely,analytics,us
applovin.com,65,Applovin,advertising,us
m.slovari.yandex.ru,65,Yandex,analytics,ru
bid-adfurikun.fout.jp,63,Fout,advertising,JP
wsback-3.presage.io,63,Presage,advertising,us
www.noreply.inmobi.com,63,Inmobi,advertising,singapore
support.adbrix.igaworks.com,62,Igaworks,advertising,south korea
sdt1.corp.inmobi.com,61,Inmobi,advertising,singapore
test.openmobile.qq.com,61,Tencent,advertising,china
testmobile.qq.com,61,Tencent,advertising,china
track.adform.net,61,Adform,advertising,dk
vec04.maps.yandex.net,60,Yandex,analytics,ru
www.admob.com,60,Admob,advertising,us
money.yandex.ru,59,Yandex,analytics,ru
"https://googleads.g.doubleclick.net/mads/static/mad/sdk/native/native_video_ads.html""",58,Doubleclick,advertising,us
vec02.maps.yandex.net,58,Yandex,analytics,ru
vec01.maps.yandex.net,57,Yandex,analytics,ru
vec03.maps.yandex.net,57,Yandex,analytics,ru
wsq.umeng.com,57,Umeng,analytics,china
adserve.postrelease.com,56,Postrelease,advertising,
imgcache.qq.com,56,Tencent,advertising,china
www.MillennialMedia.com.,56,Millennialmedia,advertising,
bos.ads.nexage.com,55,Nexage,advertising,us
mp.weixin.qq.com,55,Tencent,advertising,china
ss3.4sqi.net,55,Foursquare,advertising,us
lingvo.mail.ru,53,Mail.Ru,advertising,russia
applock.cmcm.com,52,Cheetahmobile,advertising,china
cdn.manage.com,52,Manage,advertising,us
"https://ssl.google-analytics.com""",52,Google-Analytics,analytics,us
mobile.umeng.com,52,Umeng,analytics,china
sdk.foursquare.com,52,Foursquare,advertising,us
comcluster.cxense.com,51,Cxense Asa,advertising,no
na2m-stg2.licenses.adobe.com,51,Adobe,advertising,us
push.tnkfactory.com,51,Tnkfactory,advertising,south korea
rp.gwallet.com,51,Radiumone,advertising,us
"www.googletagmanager.com
https:",51,Google-Analytics,analytics,us
loopme.me,50,Loopme,advertising,uk
"http://media.admob.com/sdk-core-v40.js\""",49,Admob,advertising,us
"https://e.crashlytics.com/spi/v2/events""",49,Crashlytics,analytics,us
"https://fabric.io/sign_up,\ninstall",49,Fabric.io,analytics,NULL
lm.licenses.adobe.com,49,Adobe,advertising,us
aws-sandbox06.prod.millennialmedia.com,48,Millennialmedia,advertising,
creative1cdn.mobfox.com,48,Mobfox,advertising,austria
moatads.com,48,Moatads,advertising,n/a
sdk-log.gwallet.com,47,Radiumone,advertising,us
www.crittercism.com,47,Apteligent,analytics,us
tags.bluekai.com,46,Bluekai,advertising,us
"http://www.google-analytics.com""",45,Google-Analytics,analytics,us
stags.bluekai.com,45,Bluekai,advertising,us
avr3.smaato.net,44,Smaato,advertising,us
"http://googleads.g.doubleclick.net""",44,Doubleclick,advertising,us
jgo.maps.yandex.net,44,Yandex,analytics,ru
us2.api.mailchimp.com,44,Mailchimp,advertising,us
