leaf_parent,n.x,pctOfApps.x,company,n.y,pctOfApps.y,country
Wikimedia Foundation,936,0.09755833175252704,Wikimedia Foundation,936,0.09755833175252704,US
Impact Radius,931,0.09703718681795157,Forensiq,931,0.09703718681795157,US
Igaworks,811,0.0845297083881404,Igaworks,811,0.0845297083881404,KR
Mcro,811,0.0845297083881404,Mcro,811,0.0845297083881404,US
Openx,703,0.07327297780131037,Openx,703,0.07327297780131037,US
Braze,583,0.060765499371499214,Braze,583,0.060765499371499214,US
Tnkfactory,580,0.060452812410753926,Tnkfactory,580,0.060452812410753926,KR
Adstir,559,0.05826400368553698,Adstir,559,0.05826400368553698,JP
Pingstart,548,0.05711748482947096,Pingstart,548,0.05711748482947096,US
Gigya,545,0.05680479786872568,Gigya,545,0.05680479786872568,US
Xinmeihutong,543,0.05659633989489549,Xinmeihutong,543,0.05659633989489549,CN
Hyprmx,517,0.05388638623510308,Hyprmx,517,0.05388638623510308,US
360,504,0.05253140940520687,360,504,0.05253140940520687,CN
Double Verify,472,0.04919608182392389,Double Verify,472,0.04919608182392389,US
Samsung,470,0.0489876238500937,Samsung,453,0.047215731072537126,KR
Samsung,470,0.0489876238500937,Adgear,17,0.0017718927775565807,CA
Apsalar,466,0.04857070790243333,Apsalar,466,0.04857070790243333,US
NetIQ,459,0.047841104994027675,Webtrends,459,0.047841104994027675,US
Aerserv,403,0.04200428172678247,Aerserv,403,0.04200428172678247,US
Longtail Ad Solutions,356,0.0371055193417731,Longtail Ad Solutions,356,0.0371055193417731,US
Appnexus,355,0.03700129035485801,Appnexus,355,0.03700129035485801,US
Superawesome,351,0.03658437440719764,Superawesome,351,0.03658437440719764,UK
Youku Tudou,339,0.03533362656421652,Youku Tudou,339,0.03533362656421652,CN
Freakout Holdings,338,0.03522939757730143,Freakout Holdings,338,0.03522939757730143,N/A
Sumo Logic,327,0.03408287872123541,Sumo Logic,327,0.03408287872123541,US
Sogou,309,0.03220675695676373,Sogou,309,0.03220675695676373,CN
Mozilla,293,0.030539093166122244,Mozilla,293,0.030539093166122244,US
Kochava,290,0.030226406205376963,Kochava,290,0.030226406205376963,US
RockYou,277,0.028871429375480755,Playhaven,277,0.028871429375480755,US
Accuweather,256,0.026682620650263802,Accuweather,256,0.026682620650263802,US
Optimizely,255,0.026578391663348713,Optimizely,255,0.026578391663348713,US
Swrve,223,0.023243064082065737,Swrve,223,0.023243064082065737,US
Jumptap,207,0.021575400291424247,Jumptap,207,0.021575400291424247,US
RhythmOne,204,0.02126271333067897,Radium One,128,0.013341310325131901,US
RhythmOne,204,0.02126271333067897,Blinkx,76,0.007921403005547067,US
NinthDecimal,203,0.021158484343763877,Mologiq,203,0.021158484343763877,US
Rackspace Us,202,0.02105425535684878,Rackspace Us,202,0.02105425535684878,US
Infonline,183,0.019073904605462016,Infonline,183,0.019073904605462016,DE
Noosphere,172,0.017927385749395994,Fiksu,172,0.017927385749395994,US
Mailchimp,166,0.017302011827905434,Mailchimp,166,0.017302011827905434,US
Outbrain,164,0.01709355385407525,Outbrain,164,0.01709355385407525,US
Tapsense,159,0.016572408919499782,Tapsense,159,0.016572408919499782,US
Jquery Foundation,156,0.016259721958754508,Jquery Foundation,156,0.016259721958754508,US
Nativo,146,0.015217432089603574,Nativo,146,0.015217432089603574,US
Adchina,132,0.013758226272792275,Adchina,132,0.013758226272792275,CN
Gemius,132,0.013758226272792275,Gemius,132,0.013758226272792275,PL
Nativex,130,0.013549768298962088,Nativex,130,0.013549768298962088,US
Taboola,123,0.012820165390556438,Taboola,123,0.012820165390556438,US
Rambler,115,0.011986333495235693,Rambler,115,0.011986333495235693,RU
At Internet,114,0.0118821045083206,At Internet,114,0.0118821045083206,UK
Xiaomi,103,0.010735585652254577,Xiaomi,103,0.010735585652254577,CN
Loopme,95,0.009901753756933833,Loopme,95,0.009901753756933833,UK
Altice SA,88,0.009172150848528182,Teads,88,0.009172150848528182,US
Tealium,88,0.009172150848528182,Tealium,88,0.009172150848528182,US
Viglink,81,0.008442547940122532,Viglink,81,0.008442547940122532,US
Jd.com,79,0.008234089966292345,Jd.com,79,0.008234089966292345,CN
Sharethrough,79,0.008234089966292345,Sharethrough,79,0.008234089966292345,US
Netdna,75,0.007817174018631974,Netdna,75,0.007817174018631974,N/A
Adition Technologies,73,0.007608716044801787,Adition Technologies,73,0.007608716044801787,DE
Adform,72,0.007504487057886695,Adform,72,0.007504487057886695,DK
Outfit7,71,0.007400258070971602,Bee7,67,0.006983342123311229,UK
Outfit7,71,0.007400258070971602,Outfit7,18,0.0018761217644716738,UK
Hubspot,70,0.007296029084056508,Hubspot,70,0.007296029084056508,US
Stackpath,69,0.007191800097141416,Stackpath,69,0.007191800097141416,US
Iresearch Consulting Group,56,0.005836823267245207,Iresearch Consulting Group,56,0.005836823267245207,CN
Manage,52,0.005419907319584835,Manage,52,0.005419907319584835,US
Disney,46,0.004794533398094277,Disney,46,0.004794533398094277,US
Mobvista,45,0.004690304411179185,Mobvista,45,0.004690304411179185,CN
Weather.com.cn,45,0.004690304411179185,Weather.com.cn,45,0.004690304411179185,CN
Comcast,44,0.004586075424264091,Comcast,40,0.00416915947660372,US
Comcast,44,0.004586075424264091,Stickyads.tv,3,3.1268696074527897e-4,US
Comcast,44,0.004586075424264091,Freewheel,1,1.0422898691509298e-4,US
Singtel,43,0.004481846437348998,Amobee,23,0.0023972666990471386,US
Singtel,43,0.004481846437348998,Singtel,15,0.001563434803726395,SG
Singtel,43,0.004481846437348998,Turn,5,5.21144934575465e-4,US
